clientCount,latency,roomCount
2,108.8048780487805,2
3,118.16867469879519,2
3,108.35074626865672,3
4,115.94630872483222,3
4,127.23899371069183,4
5,176.06459948320415,4
5,282.6509635974304,5
6,376.2094861660079,5
6,482.2474226804124,6
7,NaN,6
